title,content
Phishing,A deceptive technique used to trick individuals into revealing sensitive information.
Ransomware,Malware that encrypts files and demands payment for the decryption key.
Red Team,A group that simulates attacks to test an organization's defenses.
Blue Team,The internal security team responsible for defending against cyber threats.
Black Hat,Hackers who violate computer security for personal gain or malice.
White Hat,Ethical hackers who use their skills to improve security systems.
Grey Hat,Hackers who may violate laws but usually without malicious intent.
Zero-Day Exploit,An attack that targets a software vulnerability unknown to the vendor.
SQL Injection,A vulnerability where attackers insert malicious SQL code into entry fields.
Cross-Site Scripting (XSS),Injecting malicious scripts into benign and trusted websites.
Brute Force Attack,Trial-and-error method used to guess passwords or encryption keys.
Man-in-the-Middle (MitM),An attack where the attacker secretly intercepts communications.
Distributed Denial of Service (DDoS),Flooding a target with traffic to crash its servers or network.
Firewall,A network security system that monitors and controls incoming and outgoing traffic.
Encryption,The process of converting information into a code to prevent unauthorized access.
Social Engineering,The psychological manipulation of people into performing actions or divulging info.
Multi-Factor Authentication (MFA),A security system requiring more than one method of authentication.
Penetration Testing,A simulated cyberattack against your computer system to check for vulnerabilities.
Intrusion Detection System (IDS),A device or software application that monitors a network for malicious activity.
Endpoint Security,The practice of securing endpoints or entry points of end-user devices.
Cryptography,The practice and study of techniques for secure communication.
Keylogger,A type of surveillance software that records every keystroke made on a keyboard.
Malware,Software specifically designed to disrupt damage or gain unauthorized access.
Spyware,Software that enables a user to obtain covert information about another's computer activities.
Trojan Horse,A program that appears harmless but is actually malicious.
Computer Worm,A self-replicating malware program that spreads through computer networks.
Data Breach,The intentional or unintentional release of secure or private information.
Virtual Private Network (VPN),A service that creates a safe encrypted connection over a less secure network.
Public Key Infrastructure (PKI),A framework for managing digital certificates and public-key encryption.
Digital Signature,A mathematical scheme for verifying the authenticity of digital messages.
Security Operations Center (SOC),A centralized unit that deals with security issues on an organizational level.
Incident Response,The process by which an organization handles a data breach or cyberattack.
Risk Management,The process of identifying monitoring and managing potential security risks.
Vulnerability Assessment,The process of defining identifying and prioritizing vulnerabilities in a system.
Asset Management,The practice of tracking and managing an organization's IT assets.
Network Segmentation,The practice of splitting a network into smaller sub-networks.
Least Privilege Principle,The practice of limiting access rights for users to the bare minimum.
Bio-metric Authentication,Security processes that use unique biological traits to identify individuals.
Identity and Access Management (IAM),A framework of policies for ensuring proper people have access to technology.
Secure Sockets Layer (SSL),A standard security technology for establishing an encrypted link.
Transport Layer Security (TLS),The successor to SSL providing more secure communication.
Honeypot,A decoy system used to lure and study potential hackers.
Threat Intelligence,Information used by an organization to understand the threats it faces.
Advanced Persistent Threat (APT),A prolonged and targeted cyberattack by a high-level attacker.
Sandboxing,A security mechanism for separating running programs from the underlying system.
Patch Management,The process of managing a network of computers by deploying software updates.
Antivirus Software,A program used to prevent detect and remove malware.
Cloud Security,A broad set of control technologies used to protect cloud computing environments.
Dark Web,A part of the internet that is intentionally hidden and requires specific software to access.
Packet Sniffing,The process of capturing and analyzing data packets as they flow across a network.
Buffer Overflow,An anomaly where a program writes data beyond the boundary of a buffer.
Rootkit,A collection of software tools that enable an unauthorized user to gain control.
Script Kiddie,An unskilled individual who uses scripts or programs developed by others to attack.
Cyber Espionage,The act or practice of obtaining secrets without permission via the internet.
Air Gapping,A security measure that ensures a computer or network is physically isolated.
Logic Bomb,A piece of code intentionally inserted into a software system that sets off a malicious function.
Privilege Escalation,The act of exploiting a bug or design flaw to gain elevated access.
Backdoor,A method of bypassing normal authentication in a cryptosystem or algorithm.
Dictionary Attack,A method of breaking into a password-protected computer by entering every word in a dictionary.
Exfiltration,The unauthorized transfer of data from a computer.
Fuzzing,An automated software testing technique that involves providing semi-random data as input.
Hardening,The process of securing a system by reducing its surface of vulnerability.
Payload,The part of transmitted data that is the actual intended message or malicious code.
Reverse Engineering,The process of analyzing a system to identify its components and their interrelationships.
Salting,Adding random data to a password before hashing it to protect against pre-computed attacks.
Threat Hunting,The process of proactively searching through networks to detect and isolate threats.
Whaling,A highly targeted phishing attack aimed at high-ranking executives.
Zombie,A computer connected to the internet that has been compromised by a hacker via a virus.
Zero Trust,A security model that requires strict identity verification for every person and device.
Container Security,The tools and policies used to protect containerized applications.
Digital Forensics,The branch of forensic science encompassing the recovery and investigation of material found in digital devices.
Exploit Kit,A software kit designed to run on web servers with the purpose of identifying vulnerabilities.
Information Security (InfoSec),The practice of protecting information by mitigating information risks.
Interoperability,The ability of computer systems or software to exchange and make use of information.
Kernel,The core of a computer's operating system with complete control over everything in the system.
Macro Virus,A virus that is written in a macro language and embedded into documents.
Network Traffic Analysis (NTA),The process of recording reviewing and analyzing network traffic patterns.
Open Source Intelligence (OSINT),The collection and analysis of data gathered from open sources.
Passive Attack,An attack where the attacker does not interact with the target system.
Active Attack,An attack where the attacker attempts to alter system resources or affect their operation.
Quantum Cryptography,The science of exploiting quantum mechanical properties to perform cryptographic tasks.
Remote Access Trojan (RAT),A malware program that includes a back door for administrative control.
Secure Boot,A security standard developed by members of the PC industry to help ensure a device boots using only trusted software.
Security Token,A peripheral device used to gain access to an electronically restricted resource.
Steganography,The practice of concealing a file message image or video within another file.
Tailgating,A physical security breach where an unauthorized person follows an authorized person into a secure area.
UDP Flood,A type of denial-of-service attack using User Datagram Protocol packets.
Vault,A secure digital storage for sensitive keys passwords and certificates.
War Driving,The act of searching for Wi-Fi wireless networks by a person in a moving vehicle.
Cross-Site Request Forgery (CSRF),An attack that forces an authenticated user to execute unwanted actions on a web app.
Drip Feed Phishing,A slow-paced phishing attack designed to evade detection by security software.
Ethernet Security,Security protocols used to protect data transmitted over an Ethernet network.
Firmware Attack,A cyberattack that targets the software programmed into a hardware device's memory.
Guidance Software,Tools used for digital investigations and incident response.
Hash Function,A function that converts an input into a fixed-size string of characters.
Incident Management,The activities of an organization to identify analyze and correct hazards.
Juice Jacking,A type of cyberattack involving a charging port that doubles as a data connection.
Kill Chain,A model used to describe the stages of a cyberattack.
Local File Inclusion (LFI),An exploit where an attacker tricks a web application into exposing or running files on the server.
Managed Security Service Provider (MSSP),A service provider that provides outsourced monitoring and management of security systems.
Non-Repudiation,The assurance that someone cannot deny the validity of something.
Purple Team,A collaborative group that integrates Red and Blue team tactics for better security.
Social Media Hijacking,The process of gaining unauthorized access to social media accounts.
Adware,Software that automatically displays or downloads advertising material.
Clickjacking,A technique of tricking a user into clicking on something different from what the user perceives.
Vishing,The fraudulent practice of making phone calls to trick people into giving personal information.
Smishing,Phishing conducted via SMS text messages.
Watering Hole Attack,An attack where the attacker infects a website frequently visited by a specific group.
Typosquatting,Registering domain names that are misspellings of popular websites.
Shoulder Surfing,Direct observation techniques such as looking over someone's shoulder to get passwords.
Dumpster Diving,Searching through trash to find information that could be used in a cyberattack.
Eavesdropping,The act of secretly listening to a private conversation or communication.
Pretexting,A form of social engineering where an attacker creates a fabricated scenario to steal info.
Scareware,Malicious software that tricks users into believing their computer has a virus.
Rogue Access Point,A wireless access point installed on a network without authorization.
Evil Twin,A fraudulent Wi-Fi access point that appears to be legitimate.
Bluejacking,The sending of unsolicited messages over Bluetooth to Bluetooth-enabled devices.
Bluesnarfing,The unauthorized access of information from a wireless device through a Bluetooth connection.
Side-Channel Attack,An attack based on information gained from the physical implementation of a system.
Cold Boot Attack,A type of side-channel attack where an attacker retrieves encryption keys from RAM.
Denial of Service (DoS),An attack meant to shut down a machine or network making it inaccessible.
Ping of Death,A type of DoS attack in which the attacker sends a fragmented or malformed packet.
Smurf Attack,A DDoS attack in which large numbers of ICMP packets with the victim's spoofed source IP are sent.
Fraggle Attack,A type of DoS attack that uses a large amount of spoofed UDP traffic to a network.
SYN Flood,A type of DoS attack in which an attacker sends a succession of SYN requests to a system.
Teardrop Attack,A DoS attack that involves sending fragmented packets to a target machine.
Zero-Knowledge Proof,A method by which one party can prove to another that they know a value without revealing it.
CAPTCHA,A type of challenge-response test used in computing to determine whether the user is human.
Two-Factor Authentication (2FA),A subset of MFA requiring exactly two forms of identification.
Bastion Host,A special-purpose computer on a network specifically designed to withstand attacks.
Demilitarized Zone (DMZ),A physical or logical subnetwork that contains an organization's external-facing services.
Stateful Inspection,A firewall technology that monitors the state of active connections.
Proxy Server,A server that acts as an intermediary for requests from clients seeking resources.
Airborne Virus,A virus that can spread through wireless connections.
Logic Bomb,A piece of code that will set off a malicious function when specified conditions are met.
Polymorphic Malware,Malware that constantly changes its identifiable features to evade detection.
Metamorphic Malware,Malware that rewrites its own code and changes its appearance with each infection.
Click Fraud,A type of fraud that occurs in pay-per-click online advertising.
Botnet,A number of Internet-connected devices each of which is running one or more bots.
Command and Control (C2),The infrastructure used by attackers to maintain communication with compromised systems.
DNS Spoofing,A type of attack that exploits vulnerabilities in the Domain Name System.
IP Spoofing,The creation of IP packets with a false source IP address for impersonation.
ARP Spoofing,A technique by which an attacker sends spoofed Address Resolution Protocol messages.
Session Hijacking,The exploitation of a valid computer session to gain unauthorized access.
Cookie Poisoning,The modification of a cookie to bypass security or steal information.
Directory Traversal,An HTTP attack which allows attackers to access restricted directories.
SQLi,Acronym for SQL Injection.
Blind SQL Injection,A type of SQLi attack that asks the database true or false questions.
Insecure Direct Object Reference (IDOR),A vulnerability where an application provides direct access to objects based on user-provided input.
Cross-Site Request Forgery (CSRF),An attack that tricks a victim into submitting a malicious request.
Broken Authentication,A vulnerability that allows an attacker to compromise passwords or session tokens.
Security Misconfiguration,The result of incomplete or ad hoc configuration of security controls.
Sensitive Data Exposure,The failure to adequately protect sensitive information like financial data.
XML External Entity (XXE),An attack against an application that parses XML input.
Insecure Deserialization,When untrusted data is used to abuse the logic of an application.
Using Components with Known Vulnerabilities,Using outdated or unpatched software libraries.
Insufficient Logging and Monitoring,The failure to record security-critical events.
Server-Side Request Forgery (SSRF),A vulnerability where an attacker can force a server-side application to make HTTP requests.
